rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
-58.60784225999999,64074,26,0.619560625,2381,648,98.97,13518,1.394081711769104,0.00025
-58.772323830000005,64471,27,0.6172034375000001,2379,652,99.29,13617,2.0751283168792725,0.00025
-58.241710870000006,64850,27,0.6149531250000002,2377,656,100.13,13712,0.4664645791053772,0.00025
-57.35917194,65244,27,0.6126137500000002,2375,660,100.14,13810,0.9263331890106201,0.00025
-55.88126209000001,65693,27,0.6099478125,2373,664,101.17,13923,0.9893816709518433,0.00025
-53.89269089000001,66012,27,0.6080537500000001,2369,668,100.43,14002,1.4272782802581787,0.00025
-53.49120619,66400,28,0.60575,2366,672,100.58,14099,1.4734171628952026,0.00025
-52.383119889999996,66794,28,0.6034106250000002,2364,676,100.04,14198,1.3509801626205444,0.00025
-51.69253440000001,67189,28,0.6010653125000001,2362,680,100.29,14297,0.4082997739315033,0.00025
-50.646249450000006,67667,28,0.5982271875,2357,684,101.38,14416,1.3356797695159912,0.00025
-49.562800970000005,68028,28,0.5960837500000001,2355,688,100.96,14506,1.0780460834503174,0.00025
-48.72530416999999,68466,29,0.5934831250000001,2353,692,101.17,14616,1.43649423122406,0.00025
-48.53140891,68900,29,0.59090625,2351,696,100.61,14724,0.5931205749511719,0.00025
-47.767315280000005,69264,29,0.5887450000000001,2348,700,100.74,14815,2.4101860523223877,0.00025
-47.094685170000005,69657,29,0.5864115625000001,2346,704,101.15,14914,2.54677677154541,0.00025
-46.91250410000001,70683,30,0.5803196875000001,2343,708,107.18,15170,11.073555946350098,0.00025
-47.592273649999996,71125,30,0.5776953125,2341,712,107.58,15281,1.4014708995819092,0.00025
-46.692572219999995,71514,30,0.5753856250000001,2337,716,106.83,15378,4.918924331665039,0.00025
-47.39519683,71932,30,0.5729037500000003,2336,720,106.52,15482,1.5891954898834229,0.00025
-47.33139215000001,72339,31,0.5704871874999999,2332,724,106.15,15584,1.1988604068756104,0.00025
-47.73617187999999,72754,31,0.5680231250000001,2328,728,106.34,15688,1.0759987831115723,0.00025
-47.45162910999999,73209,31,0.5653215625000001,2326,732,107.42,15802,6.409184455871582,0.00025
-47.10671506,73584,31,0.563095,2324,736,107.41,15895,1.7203385829925537,0.00025
-46.498459669999995,74014,31,0.5605418749999999,2322,740,106.91,16003,1.9800670146942139,0.00025
-47.88426754000001,74371,32,0.5584221875,2321,744,106.82,16092,1.5507023334503174,0.00025
-47.05601338000001,74758,32,0.556124375,2318,748,106.84,16189,4.418737411499023,0.00025
-46.67284806,75146,32,0.5538206250000002,2317,752,106.75,16286,1.7056148052215576,0.00025
-45.86731845,75582,32,0.551231875,2316,756,107.32,16395,2.3000383377075195,0.00025
-45.075883919999995,76113,32,0.5480790625,2314,760,108.69,16528,1.3394482135772705,0.00025
-44.82552727,76525,33,0.5456328125000001,2311,764,108.32,16631,0.9686771631240845,0.00025
-44.99028013000001,76967,33,0.5430084374999999,2310,768,109.55,16741,0.9544654488563538,0.00025
-43.91299518999999,77431,33,0.5402534375000001,2309,772,110.31,16857,1.6479517221450806,0.00025
-45.73938135,77844,33,0.5378012500000002,2307,776,110.5,16960,1.5534180402755737,0.00025
-46.262009230000004,78262,33,0.535319375,2304,780,110.73,17065,1.2620062828063965,0.00025
-46.83244661,79278,34,0.529286875,2302,784,116.11,17319,1.9801535606384277,0.00025
-47.13785526999999,79781,34,0.5263003125,2301,788,117.53,17445,1.9569379091262817,0.00025
-46.57004589999999,80178,34,0.5239431250000001,2298,792,117.12,17544,3.319488048553467,0.00025
-46.764480909999996,80593,35,0.5214790625000001,2297,796,116.93,17648,2.4589853286743164,0.00025
-46.38674390000001,80990,35,0.5191218750000002,2296,800,117.26,17747,1.3108035326004028,0.00025
-43.75152504,81430,35,0.5165093749999998,2295,804,117.73,17857,0.7558225393295288,0.00025
-43.95703474999999,81884,35,0.5138137500000002,2292,808,112.01,17970,3.336212635040283,0.00025
-43.90913783999999,82270,35,0.5115218749999999,2291,812,111.45,18067,10.361987113952637,0.00025
