rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
-9.953034139999998,944,44,2368,193.15,105335,0.37457343750000005,23833,0.00025,2.274625539779663
-9.539065120000002,948,45,2363,205.82,107059,0.3643371875,24264,0.00025,2.7784175872802734
-9.73849164,952,46,2358,220.08,109259,0.3512746875000001,24814,0.00025,2.9271082878112793
-9.88272505,956,48,2346,252.18,113259,0.3275246875000001,25814,0.00025,3.381401300430298
-8.317223839999999,960,49,2340,268.9,115506,0.3141831250000001,26376,0.00025,9.084823608398438
-7.780393759999999,964,50,2332,297.79,118837,0.2944053125000001,27209,0.00025,1.391371250152588
-8.167323029999999,968,52,2324,315.71,121125,0.2808203125000003,27781,0.00025,7.517573833465576
-8.228190490000001,972,54,2316,350.55,125125,0.25707031250000023,28781,0.00025,2.5185089111328125
-8.608138109999999,976,55,2308,371.37,128246,0.23853937500000022,29561,0.00025,3.315412998199463
-8.966850130000001,980,57,2300,407.12,132246,0.21478937500000017,30561,0.00025,5.141994953155518
-8.30448425,984,59,2293,434.61,136246,0.19103937500000012,31561,0.00025,3.1935548782348633
-7.921494779999998,988,61,2284,469.03,140246,0.16728937500000007,32561,0.00025,0.5609472990036011
-8.858600789999999,992,63,2276,503.29,144246,0.14353937500000014,33561,0.00025,3.3740010261535645
-7.89340658,996,65,2269,538.45,148246,0.11978937500000009,34561,0.00025,1.6455076932907104
-8.30663333,1000,67,2261,565.07,152246,0.09603937500000037,35561,0.00025,2.7859301567077637
-7.11872377,1004,69,2255,592.18,156246,0.07228937500000032,36561,0.00025,7.955908298492432
-8.26172132,1008,71,2248,619.69,160246,0.05,37561,0.00025,2.4478089809417725
-8.61871161,1012,73,2242,655.31,164246,0.05,38561,0.00025,2.9826464653015137
-9.058780389999999,1016,75,2235,682.22,168246,0.05,39561,0.00025,2.118985652923584
-9.392388089999999,1020,77,2230,715.91,172246,0.05,40561,0.00025,2.374286413192749
-9.63374303,1024,79,2224,751.28,176246,0.05,41561,0.00025,0.534118115901947
