time/fps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate
2332,-46.57004589999999,792,34,80178,0.5239431250000001,117.12,3.319488048553467,17544,0.00025
2331,-46.764480909999996,796,34,80593,0.5214790625000001,116.93,2.4589853286743164,17648,0.00025
2329,-46.38674390000001,800,34,80990,0.5191218750000002,117.26,1.3108035326004028,17747,0.00025
2326,-43.75152504,804,35,81430,0.5165093749999998,117.73,0.7558225393295288,17857,0.00025
2324,-43.95703474999999,808,35,81884,0.5138137500000002,112.01,3.336212635040283,17970,0.00025
2323,-43.90913783999999,812,35,82270,0.5115218749999999,111.45,10.361987113952637,18067,0.00025
2321,-44.332469569999994,816,35,82895,0.5078109375000002,113.81,1.079482913017273,18223,0.00025
2318,-44.239127759999995,820,35,83402,0.5048006250000001,114.7,2.410963773727417,18350,0.00025
2316,-44.21587,824,36,83841,0.5021940625,115.02,2.45005464553833,18460,0.00025
2315,-45.25539435999998,828,36,84258,0.4997181250000001,115.04,1.675825595855713,18564,0.00025
2314,-44.10279513,832,36,84729,0.49692156249999997,115.2,9.655959129333496,18682,0.00025
2310,-43.410898380000006,836,36,85253,0.4938103125000002,116.69,1.840675711631775,18813,0.00025
2309,-42.31207278999998,840,37,85605,0.49172031250000026,115.91,1.5546090602874756,18901,0.00025
2308,-40.79231778,844,37,86020,0.48925625000000017,116.49,2.6691203117370605,19004,0.00025
2306,-40.1087603,848,37,86477,0.4865428125000001,117.19,6.368440628051758,19119,0.00025
2303,-38.37868331000001,852,37,87251,0.4819471875,121.05,1.1867799758911133,19312,0.00025
2301,-37.55271672,856,38,88041,0.47725656250000015,124.59,1.553142786026001,19510,0.00025
2297,-37.82012466,860,38,88616,0.47384250000000017,125.03,1.2814834117889404,19653,0.00025
2296,-37.321269349999994,864,38,89058,0.47121812500000015,125.33,3.0005674362182617,19764,0.00025
2294,-36.236947889999996,868,39,89554,0.46827312500000007,125.87,1.7421725988388062,19888,0.00025
2293,-36.700159510000006,872,39,90070,0.46520937500000004,126.39,18.360830307006836,20017,0.00025
2289,-33.72121558,876,39,91109,0.4590403125000002,132.65,2.3697073459625244,20277,0.00025
2288,-33.208059909999996,880,40,91534,0.45651687500000004,132.72,2.3407886028289795,20383,0.00025
