rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/n_updates,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
991.97,71,66,991.97,145408,2181,1.55482419756936e-06,-11.38132381439209,0.0064103566,-0.0005402532202424482,-0.2501253619790077,0.072412109375,-0.006194646004587412,0.0003,700,0.3068423569202423,0.2,,
991.97,72,67,991.97,147456,2185,3.223602647040025e-07,-10.272775650024414,0.004448301,-0.0003783839987590909,-0.21407148018479347,0.044384765625,0.0054429373703897,0.0003,710,0.29377877712249756,0.2,,
1000.0,73,68,1000.0,149504,2190,5.964209719877544e-07,-12.313543319702148,0.004000457,0.0021436538765556177,-0.17757113985717296,0.08671875,0.00017084642604459077,0.0003,720,0.28588128089904785,0.2,,
,,,,150000,,0.0004135908643036146,-14.62800121307373,0.0058807014,0.0034645874387933874,-0.15295565947890283,0.06728515625,0.001798710087314248,0.0003,730,0.27937644720077515,0.2,1000.0,1000.0
1000.0,74,69,1000.0,151552,2170,,,,,,,,,,,,,
1000.0,75,70,1000.0,153600,2174,2.8318247018432886e-07,-10.328263282775879,0.0053513963,0.004506902437424287,-0.13456827029585838,0.05888671875,0.010674091055989265,0.0003,740,0.27418041229248047,0.2,,
1000.0,76,71,1000.0,155648,2179,3.342976498288408e-07,-10.584836959838867,0.009918328,0.005077643929689657,-0.11232308596372605,0.0943359375,-0.009203113615512848,0.0003,750,0.26763176918029785,0.2,,
1000.0,77,72,1000.0,157696,2183,3.656259281115126e-07,-14.622424125671387,0.009642267,0.001981376238836674,-0.08636470846831798,0.06337890625,-0.012549800798296928,0.0003,760,0.25928881764411926,0.2,,
1000.0,78,73,1000.0,159744,2187,5.070960042985462e-07,-14.038239479064941,0.007352037,-0.0019237978543969803,-0.06618626229465008,0.077587890625,-0.00040152936708182096,0.0003,770,0.2585003972053528,0.2,,
,,,,160000,,2.706990613887683e-07,-11.313316345214844,0.005866698,-0.0012149762565968557,-0.050617146864533426,0.098046875,-0.010606599040329456,0.0003,780,0.25077566504478455,0.2,1000.0,1000.0
1000.0,79,74,1000.0,161792,2170,,,,,,,,,,,,,
1000.0,80,75,1000.0,163840,2174,7.832100521909524e-07,-8.73072338104248,0.0055271257,-0.003124530288914684,-0.007640046626329422,0.050146484375,0.008567526936531067,0.0003,790,0.23905763030052185,0.2,,
