time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/approx_kl,eval/mean_ep_length,eval/mean_reward
1804,72,-41.0299274,1104.21,131072,64,0.0003,-0.013433400381472893,0.7917803525924683,0.6268720626831055,630,-3.804663210362196,0.1654296875,0.40362235391512513,0.1275874376296997,0.2,0.013680385,,
1809,73,-38.894987019999995,1119.58,133120,65,0.0003,-0.009547535621095449,0.8548062443733215,0.6231359243392944,640,-3.790482221543789,0.1224609375,0.34938180837780236,0.09540718793869019,0.2,0.010298983,,
1812,74,-36.67445382,1120.3,135168,66,0.0003,-0.013083771891251672,0.8414013385772705,0.6121397018432617,650,-3.7380937591195105,0.161865234375,0.31360292974859477,0.20663520693778992,0.2,0.0147878025,,
1816,75,-32.53163229999999,1120.3,137216,67,0.0003,-0.00961127563350601,0.9091769456863403,0.6138660311698914,660,-3.713888581097126,0.132861328125,4.392563753761351,1.3312548398971558,0.2,0.01321375,,
1819,76,-31.343765579999996,1132.67,139264,68,0.0003,-0.011824800954491366,0.8478097319602966,0.6061850190162659,670,-3.691953021287918,0.151123046875,0.3160522081423551,0.1380169540643692,0.2,0.012912385,,
1823,77,-28.937992429999998,1148.03,141312,69,0.0003,-0.0060710199220920915,0.9460693597793579,0.6055042147636414,680,-3.6655258879065515,0.0873046875,2.1321607012301684,0.5681586861610413,0.2,0.011034882,,
1826,78,-24.283455849999996,1176.34,143360,70,0.0003,-0.008408590080216527,0.48605650663375854,0.5990688800811768,690,-3.646404707431793,0.13349609375,1.1289214013144373,0.6564798355102539,0.2,0.012333931,,
1830,79,-23.51198895,1159.66,145408,71,0.0003,-0.005501317503512837,0.9166824817657471,0.6002318859100342,700,-3.6264181569218636,0.07333984375,10.92976979315281,0.9495702981948853,0.2,0.008972668,,
1833,80,-21.6986894,1134.69,147456,72,0.0003,-0.006450532765302342,0.7656819820404053,0.600701093673706,710,-3.6330788023769855,0.03720703125,104.01142722070217,107.22463989257812,0.2,0.0052862386,,
1836,81,-21.334093209999995,1102.75,149504,73,0.0003,-0.005945081713434774,0.9154179096221924,0.6008857488632202,720,-3.6351448103785513,0.042236328125,34.12471314966679,26.416709899902344,0.2,0.005083716,,
,,,,150000,,0.0003,-0.005733313420205377,0.9056842923164368,0.6005648374557495,730,-3.6341224901378153,0.0333984375,54.22384251356125,21.734962463378906,0.2,0.00494916,249.4,-78.41091129486449
1832,82,-18.318898299999997,1094.0,151552,74,,,,,,,,,,,,,
1834,83,-16.728245889999997,1081.2,153600,75,0.0003,-0.009145395997620653,0.9232545495033264,0.6007076501846313,740,-3.633671963214874,0.057080078125,39.098403573036194,29.393468856811523,0.2,0.007247201,,
1838,84,-16.844714399999997,1030.37,155648,76,0.0003,-0.005914321489399299,0.928652286529541,0.6009883284568787,750,-3.6355787716805934,0.041064453125,41.71724557578564,16.882966995239258,0.2,0.005777221,,
1840,85,-13.918165490000002,1023.39,157696,77,0.0003,-0.008151743261987577,0.8606982827186584,0.5994999408721924,760,-3.6316499918699265,0.06689453125,73.007867243886,11.657087326049805,0.2,0.008054253,,
