Algorithm,Episode,Step,DistanceError
Vanilla PPO,9,42,0.21098563039019405
Vanilla PPO,9,43,0.16101943905310803
Vanilla PPO,9,44,0.12132715292236072
Vanilla PPO,9,45,0.09611781514220769
Vanilla PPO,9,46,0.08950078412047462
Vanilla PPO,9,47,0.09880742272570626
Vanilla PPO,9,48,0.11587686688564823
Vanilla PPO,9,49,0.13466441438786997
Vanilla PPO,9,50,0.26176567244332055
DR-PPO,0,1,0.950410252051464
DR-PPO,0,2,1.79379411276919
DR-PPO,0,3,2.514440738288019
DR-PPO,0,4,3.1154568675412597
DR-PPO,0,5,3.5981748692978575
DR-PPO,0,6,3.9626597865335698
DR-PPO,0,7,4.210098867062087
DR-PPO,0,8,4.344504964523334
DR-PPO,0,9,4.374921024152551
DR-PPO,0,10,4.317326923059366
DR-PPO,0,11,4.193334131767882
DR-PPO,0,12,4.025201299271057
DR-PPO,0,13,3.8307791060928515
DR-PPO,0,14,3.6216329381450185
DR-PPO,0,15,3.404114838235304
DR-PPO,0,16,3.1814680128361994
DR-PPO,0,17,2.95559310332833
DR-PPO,0,18,2.7280961655316855
DR-PPO,0,19,2.50072978686292
DR-PPO,0,20,2.275470140806084
DR-PPO,0,21,2.0544157407758434
DR-PPO,0,22,1.8396316353128765
DR-PPO,0,23,1.6330037543879845
DR-PPO,0,24,1.4361338054670003
DR-PPO,0,25,1.250283057671153
DR-PPO,0,26,1.0763914721185694
DR-PPO,0,27,0.9150002049265316
DR-PPO,0,28,0.7664190571229255
DR-PPO,0,29,0.6307271629743533
DR-PPO,0,30,0.5078252715360769
DR-PPO,0,31,0.3974891792618823
DR-PPO,0,32,0.2994280329848093
DR-PPO,0,33,0.2133844047743286
DR-PPO,0,34,0.13941627215094446
DR-PPO,0,35,0.07915072283190129
DR-PPO,0,36,0.04369267805115686
DR-PPO,0,37,0.05616101384581351
DR-PPO,0,38,0.08696062655340757
DR-PPO,0,39,0.11557050802462551
DR-PPO,0,40,0.13894737095855042
DR-PPO,0,41,0.1569045429110441
DR-PPO,0,42,0.1698281215084893
DR-PPO,0,43,0.1782544110224624
DR-PPO,0,44,0.18275281564055657
DR-PPO,0,45,0.18388365781365967
DR-PPO,0,46,0.1821799290552203
DR-PPO,0,47,0.17813745061521505
DR-PPO,0,48,0.1722112419861282
DR-PPO,0,49,0.16481321640617197
DR-PPO,0,50,0.2981312179095054
DR-PPO,1,1,1.705747555200309
DR-PPO,1,2,3.307148968466189
DR-PPO,1,3,4.873064361699738
DR-PPO,1,4,6.24414242266158
DR-PPO,1,5,7.327824018044116
DR-PPO,1,6,8.091333749904544
DR-PPO,1,7,8.574285671966877
DR-PPO,1,8,8.861962840161945
DR-PPO,1,9,9.005101173418288
DR-PPO,1,10,9.00076582741872
DR-PPO,1,11,8.823011125046943
DR-PPO,1,12,8.452128770815362
DR-PPO,1,13,7.888990660386983
DR-PPO,1,14,7.1622685281240335
DR-PPO,1,15,6.328489109199496
DR-PPO,1,16,5.458179290319665
DR-PPO,1,17,4.615693783799391
DR-PPO,1,18,3.845092473873691
DR-PPO,1,19,3.1657793027491516
DR-PPO,1,20,2.5770666328966136
DR-PPO,1,21,2.068219418926443
DR-PPO,1,22,1.6277896756477181
DR-PPO,1,23,1.2478123599997912
DR-PPO,1,24,0.9234557145418454
DR-PPO,1,25,0.6512978744909055
DR-PPO,1,26,0.4287125772998374
DR-PPO,1,27,0.25611480405593473
DR-PPO,1,28,0.14830730425856317
DR-PPO,1,29,0.14217805579081333
DR-PPO,1,30,0.19665819111035118
DR-PPO,1,31,0.2527141888288049
DR-PPO,1,32,0.2964470630906306
DR-PPO,1,33,0.3264972344023911
DR-PPO,1,34,0.34404694604475533
DR-PPO,1,35,0.35082010716973755
DR-PPO,1,36,0.3485817555624479
DR-PPO,1,37,0.3389959966037622
DR-PPO,1,38,0.3235841629530367
DR-PPO,1,39,0.30371547625400036
DR-PPO,1,40,0.2806111500763738
DR-PPO,1,41,0.25534905817876635
DR-PPO,1,42,0.2288732514517693
DR-PPO,1,43,0.2020009836057394
DR-PPO,1,44,0.17543434525533386
DR-PPO,1,45,0.14977194850631642
DR-PPO,1,46,0.12552437472853933
DR-PPO,1,47,0.10313886256568826
DR-PPO,1,48,0.0830331579668568
DR-PPO,1,49,0.06565278247236944
DR-PPO,1,50,0.09144323546103418
DR-PPO,2,1,0.9080575003073413
DR-PPO,2,2,1.6189825620688947
DR-PPO,2,3,2.1438495615630884
DR-PPO,2,4,2.498646967881771
DR-PPO,2,5,2.699525887576432
DR-PPO,2,6,2.7644835458604464
DR-PPO,2,7,2.715062512885912
DR-PPO,2,8,2.5761431697918047
DR-PPO,2,9,2.3740500217546274
DR-PPO,2,10,2.1339737302118094
DR-PPO,2,11,1.8777444771306853
DR-PPO,2,12,1.6225616160350034
DR-PPO,2,13,1.3807507882017387
DR-PPO,2,14,1.1602871211182026
DR-PPO,2,15,0.9657132867803973
DR-PPO,2,16,0.7991319999006066
DR-PPO,2,17,0.6610442047056665
DR-PPO,2,18,0.5508979330191555
DR-PPO,2,19,0.467257588964468
DR-PPO,2,20,0.4076285690205397
DR-PPO,2,21,0.36821879354235415
DR-PPO,2,22,0.3441423160795271
DR-PPO,2,23,0.3302395100512518
DR-PPO,2,24,0.3220263306232097
DR-PPO,2,25,0.3162072445451575
DR-PPO,2,26,0.3106746432801875
DR-PPO,2,27,0.30424954804177834
DR-PPO,2,28,0.29638690947585583
DR-PPO,2,29,0.2869398319578166
DR-PPO,2,30,0.275993462983793
DR-PPO,2,31,0.26375922904148597
DR-PPO,2,32,0.2505060321347847
DR-PPO,2,33,0.2365194848669276
DR-PPO,2,34,0.22207730891874372
DR-PPO,2,35,0.20743575046511084
DR-PPO,2,36,0.1928222353655956
DR-PPO,2,37,0.17843141634003845
DR-PPO,2,38,0.16442720954257253
DR-PPO,2,39,0.1509427117708538
DR-PPO,2,40,0.13808312679847998
DR-PPO,2,41,0.1259284087080687
DR-PPO,2,42,0.11453715056692616
DR-PPO,2,43,0.1039488679119885
DR-PPO,2,44,0.09418825188359
DR-PPO,2,45,0.08526580030166057
DR-PPO,2,46,0.07718301161123826
DR-PPO,2,47,0.06993141130861669
DR-PPO,2,48,0.06349662135711966
DR-PPO,2,49,0.05785597343576854
DR-PPO,2,50,0.32961870532625226
DR-PPO,3,1,0.9441655785580775
DR-PPO,3,2,1.659649542798931
DR-PPO,3,3,2.172657912150781
DR-PPO,3,4,2.50686757219221
DR-PPO,3,5,2.6860039958599593
DR-PPO,3,6,2.7344744717972436
