rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/clip_fraction,train/entropy_loss
604.22,33,75776,37,2236,603.74,360,-0.10689151287078857,0.2,0.00422358,0.000636290128750261,0.006977791897952557,0.0004201664474180689,0.0003,0.8167769908905029,0.0169921875,-1.212388702481985
622.19,34,77824,38,2242,621.73,370,-0.2759040594100952,0.2,0.0028837644,-0.0007655325724044814,0.006128550041466951,0.0002621396863503378,0.0003,0.8096145391464233,0.044775390625,-1.2122702986001967
641.46,35,79872,39,2241,641.02,380,-0.2735896110534668,0.2,0.004943887,1.386214280501008e-05,-0.006165677681565285,0.00022700745674057997,0.0003,0.8088494539260864,0.042431640625,-1.2069016683846712
658.88,36,81920,40,2244,658.46,390,-0.28804659843444824,0.2,0.005903572,-0.00028828450522269124,-0.0010539117502048612,0.00014007186349260792,0.0003,0.7941704988479614,0.0435546875,-1.1963816106319427
677.05,37,83968,41,2247,676.65,400,-0.38008153438568115,0.2,0.0068520214,-0.0008671289659105241,0.011891410686075687,8.248956297336462e-05,0.0003,0.770700216293335,0.058056640625,-1.1731384739279747
696.07,38,86016,42,2249,695.69,410,-0.46478569507598877,0.2,0.008395233,-0.0037982972360623537,-4.124498082092032e-05,7.064084604451182e-05,0.0003,0.7651041746139526,0.087353515625,-1.1549051158130168
714.81,39,88064,43,2254,714.45,420,-0.6577818393707275,0.2,0.00421658,1.5253208403009921e-05,-0.0008171750232577324,5.842213849120981e-05,0.0003,0.7516564130783081,0.039208984375,-1.1402268316596746
729.07,39,90112,44,2258,728.73,430,-0.5860621929168701,0.2,0.0031225765,-0.0026104393095010892,-0.003944735042750835,4.287107066147655e-05,0.0003,0.7267950773239136,0.028955078125,-1.11529138982296
746.53,40,92160,45,2258,746.21,440,-0.9707916975021362,0.2,0.0031604157,0.0005707329473807476,0.0070647564716637135,2.57971879221941e-05,0.0003,0.7156546115875244,0.033642578125,-1.0928813546895981
764.75,41,94208,46,2261,764.45,450,-0.7335696220397949,0.2,0.002711019,-0.0019522677786881105,-0.012072731740772724,1.9086193287876085e-05,0.0003,0.6895244121551514,0.025439453125,-1.0638706553727388
781.52,42,96256,47,2264,781.24,460,-1.3094923496246338,0.2,0.0034385023,0.0008272049512015655,-0.018475865945219994,1.6493916655235806e-05,0.0003,0.6743025183677673,0.031103515625,-1.034559442475438
799.72,43,98304,48,2265,799.46,470,-1.5419046878814697,0.2,0.0067486633,-0.0019718282812391406,-0.007120345253497362,1.086495607012239e-05,0.0003,0.6546722650527954,0.050927734375,-1.0080334899947048
816.71,44,100352,49,2255,816.47,480,-2.1405282020568848,0.2,0.0058032614,-0.003870602395909373,-0.0035684749018400908,7.877556674884545e-06,0.0003,0.6280009746551514,0.04912109375,-0.9721594393253327
835.17,45,102400,50,2254,834.95,490,-1.8391451835632324,0.2,0.0039461562,0.001710089850530494,0.0038761901669204235,1.3116965354242893e-05,0.0003,0.6174814105033875,0.044140625,-0.944154960103333
853.0,46,104448,51,2257,852.8,500,-5.375064373016357,0.2,0.005405466,-0.0028059741205652246,-0.019635049626231194,1.9310465782496065e-05,0.0003,0.5980391502380371,0.046923828125,-0.9180895229801536
869.37,47,106496,52,2259,869.19,510,-4.858570098876953,0.2,0.004475192,0.0001836274503148161,-0.007406459655612707,1.0073055196357928e-05,0.0003,0.5758178234100342,0.042919921875,-0.8841992070898413
886.03,47,108544,53,2262,885.87,520,-9.81460952758789,0.2,0.0057776254,-0.0012399307961459272,0.0075134774670004845,8.399034035733166e-06,0.0003,0.5617375373840332,0.058837890625,-0.8533122982829809
903.58,48,110592,54,2263,903.44,530,-2.853034734725952,0.2,0.0052773496,-0.0014185684922267683,0.011337715201079845,5.484900640340129e-06,0.0003,0.5445560216903687,0.06650390625,-0.825872115045786
921.72,49,112640,55,2263,921.6,540,-7.0951385498046875,0.2,0.0059874663,-0.0019675634350278413,-0.0017065731808543205,3.362267133866226e-06,0.0003,0.5196470022201538,0.04658203125,-0.7840834680944682
936.66,50,114688,56,2266,936.56,550,-6.600708484649658,0.2,0.0032739248,-0.0005849869710800703,0.005501491483300924,2.0697448650253137e-05,0.0003,0.5041115283966064,0.03583984375,-0.7497004980221391
960.32,51,116736,57,2267,960.25,560,-10.100842475891113,0.2,0.0048525184,-0.0029155353011447007,-0.019058773294091225,2.4647022428325726e-06,0.0003,0.4816475510597229,0.057080078125,-0.708682757243514
966.04,52,118784,58,2270,965.99,570,-20.88373374938965,0.2,0.008435059,0.0009283709019655362,-0.0019609518349170685,4.692384456461695e-06,0.0003,0.4655930697917938,0.04013671875,-0.6684237793087959
977.72,53,120832,59,2271,977.69,580,-21.58962059020996,0.2,0.0056069763,-0.0004165455451584421,-0.00460983719676733,2.0187969235507806e-05,0.0003,0.448756605386734,0.064599609375,-0.6317438876256347
984.84,54,122880,60,2274,984.82,590,-17.41973114013672,0.2,0.006066463,-0.001270125863084104,0.004028527997434139,1.8103179371564692e-06,0.0003,0.4353581368923187,0.061279296875,-0.6027564944699406
