rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss
-40.1087603,117.19,848,2291,86477,37,0.4865428125000001,0.00025,19119,6.368440628051758
-38.37868331000001,121.05,852,2289,87251,38,0.4819471875,0.00025,19312,1.1867799758911133
-37.55271672,124.59,856,2285,88041,38,0.47725656250000015,0.00025,19510,1.553142786026001
-37.82012466,125.03,860,2283,88616,38,0.47384250000000017,0.00025,19653,1.2814834117889404
-37.321269349999994,125.33,864,2281,89058,39,0.47121812500000015,0.00025,19764,3.0005674362182617
-36.236947889999996,125.87,868,2280,89554,39,0.46827312500000007,0.00025,19888,1.7421725988388062
-36.700159510000006,126.39,872,2278,90070,39,0.46520937500000004,0.00025,20017,18.360830307006836
-33.72121558,132.65,876,2274,91109,40,0.4590403125000002,0.00025,20277,2.3697073459625244
-33.208059909999996,132.72,880,2272,91534,40,0.45651687500000004,0.00025,20383,2.3407886028289795
-32.408247380000006,135.07,884,2269,92785,40,0.44908906250000014,0.00025,20696,2.042750120162964
-31.57916365,135.62,888,2268,93343,41,0.4457759375000001,0.00025,20835,2.3996388912200928
-29.716017259999997,137.39,892,2265,93917,41,0.4423678125000001,0.00025,20979,1.8671280145645142
-29.15303785,138.08,896,2261,94401,41,0.4394940625000001,0.00025,21100,18.171052932739258
-27.51497709,147.49,900,2258,95739,42,0.4315496874999999,0.00025,21434,3.0787549018859863
-28.12432793,155.98,904,2245,97028,43,0.4238962500000002,0.00025,21756,2.0772745609283447
-26.32001244,163.93,908,2242,98277,43,0.41648031250000017,0.00025,22069,0.6945801973342896
-23.793592290000003,164.45,912,2240,98715,44,0.41387968750000026,0.00025,22178,3.212571382522583
-22.304711559999998,171.29,916,2236,100024,44,0.4061075000000002,0.00025,22505,3.56190824508667
-20.632574679999998,172.53,920,2235,100655,45,0.40236093750000024,0.00025,22663,1.8920780420303345
-19.531691130000002,172.77,924,2234,101118,45,0.39961187500000006,0.00025,22779,3.9004769325256348
-17.14690462,172.75,928,2233,101533,45,0.3971478125,0.00025,22883,1.0654782056808472
-14.763513000000003,182.2,932,2228,102949,46,0.3887403125000001,0.00025,23237,4.8020339012146
-12.776489060000003,191.2,936,2225,104373,46,0.3802853125,0.00025,23593,4.804163455963135
-10.95884942,192.43,940,2224,104848,47,0.37746500000000005,0.00025,23711,3.3836867809295654
-9.953034139999998,193.15,944,2221,105335,47,0.37457343750000005,0.00025,23833,2.274625539779663
-9.539065120000002,205.82,948,2218,107059,48,0.3643371875,0.00025,24264,2.7784175872802734
-9.73849164,220.08,952,2212,109259,49,0.3512746875000001,0.00025,24814,2.9271082878112793
-9.88272505,252.18,956,2203,113259,51,0.3275246875000001,0.00025,25814,3.381401300430298
-8.317223839999999,268.9,960,2198,115506,52,0.3141831250000001,0.00025,26376,9.084823608398438
-7.780393759999999,297.79,964,2190,118837,54,0.2944053125000001,0.00025,27209,1.391371250152588
-8.167323029999999,315.71,968,2186,121125,55,0.2808203125000003,0.00025,27781,7.517573833465576
-8.228190490000001,350.55,972,2176,125125,57,0.25707031250000023,0.00025,28781,2.5185089111328125
-8.608138109999999,371.37,976,2170,128246,59,0.23853937500000022,0.00025,29561,3.315412998199463
-8.966850130000001,407.12,980,2164,132246,61,0.21478937500000017,0.00025,30561,5.141994953155518
-8.30448425,434.61,984,2157,136246,63,0.19103937500000012,0.00025,31561,3.1935548782348633
-7.921494779999998,469.03,988,2148,140246,65,0.16728937500000007,0.00025,32561,0.5609472990036011
-8.858600789999999,503.29,992,2141,144246,67,0.14353937500000014,0.00025,33561,3.3740010261535645
-7.89340658,538.45,996,2135,148246,69,0.11978937500000009,0.00025,34561,1.6455076932907104
-8.30663333,565.07,1000,2127,152246,71,0.09603937500000037,0.00025,35561,2.7859301567077637
-7.11872377,592.18,1004,2122,156246,73,0.07228937500000032,0.00025,36561,7.955908298492432
-8.26172132,619.69,1008,2117,160246,75,0.05,0.00025,37561,2.4478089809417725
-8.61871161,655.31,1012,2111,164246,77,0.05,0.00025,38561,2.9826464653015137
-9.058780389999999,682.22,1016,2105,168246,79,0.05,0.00025,39561,2.118985652923584
-9.392388089999999,715.91,1020,2101,172246,81,0.05,0.00025,40561,2.374286413192749
-9.63374303,751.28,1024,2095,176246,84,0.05,0.00025,41561,0.534118115901947
-10.330588759999998,787.13,1028,2089,180246,86,0.05,0.00025,42561,0.5101743936538696
-13.17210599,812.97,1032,2081,184246,88,0.05,0.00025,43561,0.7898955941200256
-15.116348230000003,838.73,1036,2077,188246,90,0.05,0.00025,44561,0.40689659118652344
-16.40821347,873.98,1040,2070,192246,92,0.05,0.00025,45561,2.5241446495056152
-16.91082888,909.11,1044,2059,196246,95,0.05,0.00025,46561,1.6826238632202148
-17.839635,925.92,1048,2051,199651,97,0.05,0.00025,47412,2.539637804031372
-18.11966683,943.92,1052,2047,203651,99,0.05,0.00025,48412,1.898417592048645
