rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/std,train/clip_range,train/approx_kl,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
,,55000,,,,0.8874444961547852,0.2,0.003212222,2264.787109375,-0.0009903149344609118,1.5556812286376953e-05,0.0003,0.010546875,-1.3040495704859496,260,4772.0618301391605,-1177.185403946042,200.0
200.0,2668,55296,-1134.72070502,27,20,,,,,,,,,,,,,
200.0,2674,57344,-1132.6899309,28,21,0.8962262868881226,0.2,0.002236893,1814.5911865234375,-0.0010989241432980633,2.9921531677246094e-05,0.0003,0.010009765625,-1.3052290584892035,270,3985.315901184082,,
200.0,2679,59392,-1145.7943621799998,29,22,0.8967307806015015,0.2,0.0037707645,1645.3729248046875,-0.0010478026437340305,2.3066997528076172e-05,0.0003,0.019482421875,-1.3100990153849126,280,3258.931906890869,,
,,60000,,,,0.8930138349533081,0.2,0.0030543515,1749.3115234375,-0.0023897059727460146,2.014636993408203e-05,0.0003,0.0263671875,-1.3083775710314511,290,4170.548997497559,-947.4334118641913,200.0
200.0,2668,61440,-1140.17762222,30,23,,,,,,,,,,,,,
200.0,2673,63488,-1135.11994966,31,23,0.8786839246749878,0.2,0.0022740671,1564.7603759765625,-0.0008885153860319406,1.817941665649414e-05,0.0003,0.004833984375,-1.2986348029226065,300,4277.268156433105,,
,,65000,,,,0.8755490183830261,0.2,0.0021800124,1849.86328125,-0.0019601332576712595,1.6868114471435547e-05,0.0003,0.02158203125,-1.2863020721822978,310,4002.5622741699217,-1164.3538322865963,200.0
200.0,2664,65536,-1116.99360548,32,24,,,,,,,,,,,,,
200.0,2666,67584,-1107.80094385,33,25,0.8993085026741028,0.2,0.0034824642,1290.171875,-0.0014985815461841412,1.9609928131103516e-05,0.0003,0.01748046875,-1.301206111162901,320,2627.1855068206787,,
200.0,2671,69632,-1122.7394996300002,34,26,0.9247745275497437,0.2,0.0036663853,932.5734252929688,-0.0033220759956748224,1.4722347259521484e-05,0.0003,0.03984375,-1.3276008993387223,330,2452.5770763397218,,
,,70000,,,,0.9112740755081177,0.2,0.0026301104,1279.449462890625,-0.001732660947891418,1.0251998901367188e-05,0.0003,0.020654296875,-1.3333974950015546,340,3177.5386375427247,-926.2355688385666,200.0
200.0,2662,71680,-1117.9357647299998,35,26,,,,,,,,,,,,,
200.0,2667,73728,-1107.2307311200002,36,27,0.9034563899040222,0.2,0.0043532094,1198.895263671875,-0.0030169904028298335,1.0728836059570312e-05,0.0003,0.0353515625,-1.3220905043184756,350,2307.290143203735,,
,,75000,,,,0.889589786529541,0.2,0.0054004653,1297.065185546875,-0.004008519764465745,7.569789886474609e-06,0.0003,0.053759765625,-1.3076630704104901,360,2794.962573623657,-960.2878911254927,200.0
200.0,2659,75776,-1095.09294202,37,28,,,,,,,,,,,,,
200.0,2664,77824,-1093.89038588,38,29,0.9001433849334717,0.2,0.003611942,900.0411376953125,-0.0015529373835306616,6.616115570068359e-06,0.0003,0.02197265625,-1.3103085957467555,370,2031.2597854614257,,
200.0,2668,79872,-1083.57648167,39,29,0.9146493673324585,0.2,0.004085201,972.4048461914062,-0.001927476296259556,6.4373016357421875e-06,0.0003,0.02919921875,-1.321227127686143,380,2550.9392570495606,,
,,80000,,,,0.9304399490356445,0.2,0.003449732,1097.374267578125,-0.0014403654036868828,4.76837158203125e-06,0.0003,0.02451171875,-1.3369890339672565,390,2433.9676628112793,-1070.0322906590998,200.0
200.0,2662,81920,-1082.90034442,40,30,,,,,,,,,,,,,
200.0,2667,83968,-1066.12191418,41,31,0.9242690801620483,0.2,0.0012680911,1144.0361328125,-0.0007344720725086518,4.172325134277344e-06,0.0003,0.01201171875,-1.3439567252993583,400,2493.6276554107667,,
,,85000,,,,0.9092720746994019,0.2,0.003564102,950.0274047851562,-0.0022877296767546797,4.172325134277344e-06,0.0003,0.020458984375,-1.3325696725398302,410,1894.502825164795,-1088.352322462201,200.0
200.0,2660,86016,-1075.96144548,42,32,,,,,,,,,,,,,
200.0,2663,88064,-1076.7137917200002,43,33,0.9040586948394775,0.2,0.0047558155,753.0968017578125,-0.0035623054092866367,2.9206275939941406e-06,0.0003,0.053857421875,-1.3198843147605657,420,2152.5605499267576,,
,,90000,,,,0.9079704284667969,0.2,0.0036630505,741.928955078125,-0.0034323345520533622,2.086162567138672e-06,0.0003,0.051416015625,-1.320270113646984,430,2038.0063358306884,-1097.7109220892191,200.0
200.0,2657,90112,-1077.15385496,44,33,,,,,,,,,,,,,
200.0,2661,92160,-1080.5377776799999,45,34,0.9115768671035767,0.2,0.0036126517,774.3825073242188,-0.003881046251626685,2.5033950805664062e-06,0.0003,0.035009765625,-1.3246662463992833,440,1929.7529426574706,,
200.0,2664,94208,-1074.6711005,46,35,0.9064422845840454,0.2,0.004509307,910.9842529296875,-0.001726773622795008,2.3245811462402344e-06,0.0003,0.029541015625,-1.3245375845581293,450,2045.2252704620362,,
,,95000,,,,0.8850170373916626,0.2,0.00427532,713.2359008789062,-0.0021258643464534543,2.5033950805664062e-06,0.0003,0.034619140625,-1.3087309908121825,460,1547.097838973999,-1108.8331007927657,200.0
200.0,2657,96256,-1072.41805511,47,36,,,,,,,,,,,,,
200.0,2661,98304,-1074.7934470300002,48,36,0.8862452507019043,0.2,0.0062481724,732.8910522460938,-0.005591626919340342,2.7418136596679688e-06,0.0003,0.068505859375,-1.2957332395017147,470,1296.4615514755249,,
,,100000,,,,0.9073899388313293,0.2,0.005107905,816.3875732421875,-0.002917140866338741,2.1457672119140625e-06,0.0003,0.042236328125,-1.30998093187809,480,1575.9038848876953,-926.306162885949,200.0
200.0,2655,100352,-1066.41157268,49,37,,,,,,,,,,,,,
200.0,2659,102400,-1058.41942621,50,38,0.8789036870002747,0.2,0.0042333216,630.8320922851562,-0.0043498329818248745,1.7285346984863281e-06,0.0003,0.0421875,-1.3047059707343578,490,1409.2666063308716,,
200.0,2662,104448,-1046.7382115699997,51,39,0.8600573539733887,0.2,0.0029240781,690.8154907226562,-0.002431591921776999,1.6093254089355469e-06,0.0003,0.0244140625,-1.2772428095340729,500,1304.5859481811524,,
,,105000,,,,0.8534550666809082,0.2,0.0027931887,440.5594177246094,-0.0014279737937613391,1.6689300537109375e-06,0.0003,0.02890625,-1.2633950915187597,510,1070.7567525863647,-1098.8969200491906,200.0
200.0,2657,106496,-1045.78229287,52,40,,,,,,,,,,,,,
200.0,2660,108544,-1032.38077482,53,40,0.846196174621582,0.2,0.004364809,515.9345703125,-0.004082925099646672,1.430511474609375e-06,0.0003,0.046484375,-1.25780414827168,520,1078.2931507110595,,
,,110000,,,,0.8567943572998047,0.2,0.0039712014,575.925537109375,-0.0005618110721115954,1.4901161193847656e-06,0.0003,0.018310546875,-1.2585628364235162,530,1051.7790227890014,-919.465443187952,200.0
200.0,2655,110592,-1027.21768711,54,41,,,,,,,,,,,,,
200.0,2657,112640,-1016.6157342800001,55,42,0.8597198128700256,0.2,0.0024305326,489.8670654296875,-0.0010997176650562324,1.430511474609375e-06,0.0003,0.01591796875,-1.2667537253350019,540,984.1425231933594,,
200.0,2660,114688,-1010.7539628,56,43,0.8639740347862244,0.2,0.004271319,324.9485778808594,-0.0017050841910531745,2.1457672119140625e-06,0.0003,0.03681640625,-1.2693752024322749,550,895.2230325698853,,
,,115000,,,,0.8550592660903931,0.2,0.005042857,495.1808776855469,-0.0013279539212817325,2.205371856689453e-06,0.0003,0.046044921875,-1.2664780009537935,560,1022.4588459014892,-973.6419459819793,200.0
200.0,2654,116736,-1008.2095694200001,57,43,,,,,,,,,,,,,
200.0,2657,118784,-991.9414566899999,58,44,0.8523120284080505,0.2,0.0038291207,410.4327697753906,-0.002886403641605284,2.5033950805664062e-06,0.0003,0.039599609375,-1.26026711165905,570,808.645783996582,,
,,120000,,,,0.8523815274238586,0.2,0.005467045,311.398681640625,0.00020619304850697518,2.205371856689453e-06,0.0003,0.0708984375,-1.257803139463067,580,621.281283569336,-900.7052879653871,200.0
200.0,2651,120832,-982.6524241200001,59,45,,,,,,,,,,,,,
